kg_id,complete,coverage,reference_fields,generated_fields,missing_fields,missing_profile_information,unexpected_profile_information
Water_Buffer,0,0.8571,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher,distinct_objects; distinct_subjects; entities,
WordFormationLatin,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,distinct_objects; distinct_subjects,
agrovoc,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classes; void:properties; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; void:dataDump,class_partition; distinct_objects; distinct_subjects; entities; linkset; property_partition,
allie-abbreviation-and-long-form-database-in-life-science,1,1.0000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:description; dcterms:identifier; dcterms:issued; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:exampleResource; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,,distinct_objects; distinct_subjects; feature,
anno,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:triples,dcat:theme; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:triples; void:vocabulary,dcterms:publisher; dcterms:subject; foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects; domain; feature; linkset,
aragodbpedia,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:exampleResource,distinct_objects; distinct_subjects; linkset,
associations,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:triples,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource,distinct_objects; distinct_subjects; feature; linkset; vocabularies,
bio2rdf-affymetrix,0,0.8000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; linkset; properties; vocabularies,
bio2rdf-biomodels,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-bioportal,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-clinicaltrials,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-ctd,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-dbsnp,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-drugbank,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-genage,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-gendr,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-goa,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-hgnc,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-homologene,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-interpro,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-irefindex,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-lsr,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-mesh,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-mgi,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-ncbigene,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-ndc,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-omim,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-orphanet,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-pharmgkb,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-pubmed,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-sgd,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-sider,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-taxonomy,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bio2rdf-wormbase,0,0.7000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:dataDump; void:feature; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:publisher; foaf:homepage; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; properties; vocabularies,
bncf-ns,0,0.5556,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:created; dcterms:identifier; dcterms:issued; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource,linkset,
bpr,0,0.6250,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:issued; dcterms:license; dcterms:modified; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; void:exampleResource,distinct_objects; distinct_subjects; feature,
ceo,1,1.0000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,,distinct_objects; distinct_subjects,
chemdb-basicInfo,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,distinct_objects; distinct_subjects; linkset,
chemdb-estimatedProperties,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,distinct_objects; distinct_subjects; linkset,
chemdb-phaseTransition,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,distinct_objects; distinct_subjects; linkset,
chemdb-thermochemistry,0,0.5714,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher; foaf:homepage,distinct_objects; distinct_subjects; linkset,
cht,0,0.8750,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:date; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,foaf:homepage,feature; linkset,
clean-energy-data-reegle,0,0.5000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; void:classes; void:dataDump; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:triples,dcterms:description; dcterms:publisher; foaf:homepage; void:exampleResource; void:sparqlEndpoint,class_partition; feature; linkset; property_partition; vocabularies,
corporate-body,0,0.5000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:description; dcterms:publisher; foaf:homepage; void:dataDump,classes; distinct_objects; distinct_subjects; entities; linkset; properties; vocabularies,
country-authority-list,0,0.5000,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:propertyPartition; void:sparqlEndpoint; void:triples,dcterms:description; dcterms:publisher; foaf:homepage; void:dataDump,classes; distinct_objects; distinct_subjects; entities; linkset; properties; vocabularies,
cz-nkod,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:exampleResource,linkset,
data-bnf-fr,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:exampleResource,distinct_objects; distinct_subjects; linkset,
data-cnr-it,0,0.8889,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:exampleResource; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution,linkset,
data-open-ac-uk,0,0.6250,dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:publisher; foaf:homepage; void:exampleResource,linkset,
datos-bcn-cl,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:description; dcterms:publisher; void:exampleResource,linkset; property_partition,
dblp-kg,0,0.6000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:dataDump; void:exampleResource,distinct_objects; distinct_subjects; entities; linkset,
dbnary,0,0.7500,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
dbpedia-es,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:exampleResource,distinct_objects; distinct_subjects; linkset,
dbpedia-fr,0,0.9000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:contributor; dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:uriRegexPattern; void:uriSpace; void:vocabulary,void:exampleResource,distinct_objects; distinct_subjects; feature,
dbpedia-ja,0,0.5556,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:sparqlEndpoint; void:triples,dcat:distribution; dcterms:description; dcterms:publisher; void:exampleResource,classes; distinct_objects; distinct_subjects; entities; linkset; properties; property_partition; vocabularies,
dbpedia,0,0.6667,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:dataDump; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:distinctObjects; void:distinctSubjects; void:entities; void:properties; void:sparqlEndpoint; void:triples; void:vocabulary,dcat:distribution; dcterms:publisher; void:dataDump,linkset; property_partition,
dutch-ships-and-sailors,0,0.5000,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:description; dcterms:identifier; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:entities; void:properties; void:sparqlEndpoint; void:vocabulary,dcat:distribution; dcterms:publisher; void:exampleResource; void:triples,distinct_objects; distinct_subjects; linkset; property_partition; triples,
eea-rod,0,0.7778,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; foaf:homepage; void:exampleResource; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:entities; void:exampleResource; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher,distinct_objects; distinct_subjects; linkset,
eea-vocabularies,0,0.7143,dcat:distribution; dcterms:description; dcterms:publisher; dcterms:subject; dcterms:title; void:sparqlEndpoint; void:triples,dcterms:creator; dcterms:identifier; dcterms:license; dcterms:subject; dcterms:title; foaf:homepage; void:classPartition; void:classes; void:dataDump; void:exampleResource; void:feature; void:properties; void:propertyPartition; void:sparqlEndpoint; void:triples; void:vocabulary,dcterms:description; dcterms:publisher,distinct_objects; distinct_subjects; entities; linkset,
